,WRF1km_thompson_off
2022-02-14 00:00:00,0.0
2022-02-14 06:00:00,0.0
2022-02-14 12:00:00,1.1140922e-05
2022-02-14 18:00:00,2.379685
2022-02-15 00:00:00,14.142149
2022-02-15 06:00:00,14.142149
2022-02-15 12:00:00,14.1422825
2022-02-15 18:00:00,33.31813
2022-02-16 00:00:00,36.990322
