,MPAS_wsm6_ntiedtke
2022-02-15 01:00:00,0.0
2022-02-15 02:00:00,0.0
2022-02-15 03:00:00,4.3502937e-11
2022-02-15 04:00:00,5.773853e-08
2022-02-15 05:00:00,0.0014990651
2022-02-15 06:00:00,0.0019011492
2022-02-15 07:00:00,0.005755753
2022-02-15 08:00:00,0.0057603186
2022-02-15 09:00:00,0.005787677
2022-02-15 10:00:00,0.0057876795
2022-02-15 11:00:00,0.0057876795
2022-02-15 12:00:00,0.005788847
2022-02-15 13:00:00,0.0057889502
2022-02-15 14:00:00,0.07010043
2022-02-15 15:00:00,0.1929108
2022-02-15 16:00:00,0.19979803
2022-02-15 17:00:00,0.22104666
2022-02-15 18:00:00,0.2378698
2022-02-15 19:00:00,0.29218295
2022-02-15 20:00:00,0.35818413
2022-02-15 21:00:00,0.3708057
2022-02-15 22:00:00,0.44733363
2022-02-15 23:00:00,0.46856856
2022-02-16 00:00:00,0.47860914
