,MPAS_wsm6_tiedtke
2022-02-15 01:00:00,0.0
2022-02-15 02:00:00,0.0
2022-02-15 03:00:00,4.736983e-27
2022-02-15 04:00:00,1.1764492e-10
2022-02-15 05:00:00,1.1764492e-10
2022-02-15 06:00:00,1.1764492e-10
2022-02-15 07:00:00,1.1764492e-10
2022-02-15 08:00:00,1.1764492e-10
2022-02-15 09:00:00,1.5776537e-10
2022-02-15 10:00:00,1.0973372e-08
2022-02-15 11:00:00,1.1848739e-08
2022-02-15 12:00:00,2.4230658e-07
2022-02-15 13:00:00,7.864277e-05
2022-02-15 14:00:00,7.864277e-05
2022-02-15 15:00:00,0.11810173
2022-02-15 16:00:00,2.17588
2022-02-15 17:00:00,3.546815
2022-02-15 18:00:00,7.9726553
2022-02-15 19:00:00,11.152016
2022-02-15 20:00:00,16.214472
2022-02-15 21:00:00,25.919495
2022-02-15 22:00:00,30.985556
2022-02-15 23:00:00,31.197725
2022-02-16 00:00:00,31.2006
