,WRF5km_thompson_off
2022-02-14 00:00:00,0.0
2022-02-14 06:00:00,0.0
2022-02-14 12:00:00,0.0005387401
2022-02-14 18:00:00,1.5317528
2022-02-15 00:00:00,9.872076
2022-02-15 06:00:00,9.877376
2022-02-15 12:00:00,9.878235
2022-02-15 18:00:00,26.15962
2022-02-16 00:00:00,34.86336
