,MPAS_wsm6_ntiedtke
2022-02-15 01:00:00,0.0
2022-02-15 02:00:00,7.773799e-39
2022-02-15 03:00:00,3.2879876e-29
2022-02-15 04:00:00,1.2946547e-18
2022-02-15 05:00:00,4.8125536e-08
2022-02-15 06:00:00,0.00010651507
2022-02-15 07:00:00,0.00010688239
2022-02-15 08:00:00,0.000106884494
2022-02-15 09:00:00,0.000106884494
2022-02-15 10:00:00,0.000106884494
2022-02-15 11:00:00,0.000106884494
2022-02-15 12:00:00,0.10722412
2022-02-15 13:00:00,0.107280314
2022-02-15 14:00:00,0.41914186
2022-02-15 15:00:00,0.6980758
2022-02-15 16:00:00,1.1111197
2022-02-15 17:00:00,2.4524953
2022-02-15 18:00:00,8.375038
2022-02-15 19:00:00,13.193523
2022-02-15 20:00:00,18.13107
2022-02-15 21:00:00,19.424183
2022-02-15 22:00:00,21.50046
2022-02-15 23:00:00,23.98539
2022-02-16 00:00:00,24.102016
