,MPAS_wsm6_tiedtke
2022-02-15 01:00:00,0.0
2022-02-15 02:00:00,2.5619771e-19
2022-02-15 03:00:00,1.6071595e-10
2022-02-15 04:00:00,7.141352e-08
2022-02-15 05:00:00,0.0015074053
2022-02-15 06:00:00,0.0015074188
2022-02-15 07:00:00,0.0015074188
2022-02-15 08:00:00,0.001507437
2022-02-15 09:00:00,0.0019486928
2022-02-15 10:00:00,0.033922277
2022-02-15 11:00:00,0.033939946
2022-02-15 12:00:00,0.033939946
2022-02-15 13:00:00,0.033939946
2022-02-15 14:00:00,0.033939946
2022-02-15 15:00:00,0.033939946
2022-02-15 16:00:00,0.033972356
2022-02-15 17:00:00,0.038983475
2022-02-15 18:00:00,0.10415478
2022-02-15 19:00:00,0.22395003
2022-02-15 20:00:00,0.39196062
2022-02-15 21:00:00,0.4865513
2022-02-15 22:00:00,0.9491824
2022-02-15 23:00:00,1.1241632
2022-02-16 00:00:00,1.1272056
