,MPAS_thompson_tiedtke
2022-02-15 01:00:00,0.0
2022-02-15 02:00:00,0.0
2022-02-15 03:00:00,0.0
2022-02-15 04:00:00,0.0
2022-02-15 05:00:00,0.0
2022-02-15 06:00:00,0.0
2022-02-15 07:00:00,0.0
2022-02-15 08:00:00,0.0
2022-02-15 09:00:00,0.0
2022-02-15 10:00:00,4.5099813e-09
2022-02-15 11:00:00,4.5099813e-09
2022-02-15 12:00:00,4.5099813e-09
2022-02-15 13:00:00,4.5099813e-09
2022-02-15 14:00:00,4.5099813e-09
2022-02-15 15:00:00,4.5099813e-09
2022-02-15 16:00:00,0.002099102
2022-02-15 17:00:00,0.002768778
2022-02-15 18:00:00,0.005439735
2022-02-15 19:00:00,0.033948876
2022-02-15 20:00:00,0.3580593
2022-02-15 21:00:00,2.5183597
2022-02-15 22:00:00,2.6828456
2022-02-15 23:00:00,2.7946677
2022-02-16 00:00:00,2.8636374
