,MPAS_wsm6_off
2022-02-15 01:00:00,0.0
2022-02-15 02:00:00,3.3752446e-17
2022-02-15 03:00:00,1.3001166e-15
2022-02-15 04:00:00,2.0470667e-08
2022-02-15 05:00:00,0.0026862994
2022-02-15 06:00:00,0.002686347
2022-02-15 07:00:00,0.002686347
2022-02-15 08:00:00,0.0026863727
2022-02-15 09:00:00,0.0027759348
2022-02-15 10:00:00,0.028363492
2022-02-15 11:00:00,0.029370682
2022-02-15 12:00:00,0.029370701
2022-02-15 13:00:00,0.029370913
2022-02-15 14:00:00,0.030086877
2022-02-15 15:00:00,0.030672854
2022-02-15 16:00:00,0.14212011
2022-02-15 17:00:00,0.14414811
2022-02-15 18:00:00,0.29280606
2022-02-15 19:00:00,1.5198534
2022-02-15 20:00:00,1.6127067
2022-02-15 21:00:00,1.6142222
2022-02-15 22:00:00,1.614553
2022-02-15 23:00:00,1.614553
2022-02-16 00:00:00,1.614553
