,0
2022-02-14 00:00:00,0.0
2022-02-14 06:00:00,0.0
2022-02-14 12:00:00,0.008000809
2022-02-14 18:00:00,1.3975949
2022-02-15 00:00:00,4.649236
2022-02-15 06:00:00,4.649302
2022-02-15 12:00:00,4.649302
2022-02-15 18:00:00,6.914954
2022-02-16 00:00:00,12.290432
