,WRF1km_thompson_off.nc
2022-02-14 00:00:00,0.0
2022-02-14 06:00:00,0.0
2022-02-14 12:00:00,0.0009858236
2022-02-14 18:00:00,3.9429548
2022-02-15 00:00:00,15.129624
2022-02-15 06:00:00,15.129624
2022-02-15 12:00:00,15.13036
2022-02-15 18:00:00,63.496716
2022-02-16 00:00:00,77.17779
