,MPAS_wsm6_off
2022-02-15 01:00:00,0.0
2022-02-15 02:00:00,2.629014e-31
2022-02-15 03:00:00,1.4770866e-26
2022-02-15 04:00:00,1.204933e-09
2022-02-15 05:00:00,1.6564032e-09
2022-02-15 06:00:00,1.6564032e-09
2022-02-15 07:00:00,1.6564032e-09
2022-02-15 08:00:00,1.6564032e-09
2022-02-15 09:00:00,1.7222613e-09
2022-02-15 10:00:00,0.0014461343
2022-02-15 11:00:00,0.0014467833
2022-02-15 12:00:00,0.0015943216
2022-02-15 13:00:00,0.012393145
2022-02-15 14:00:00,0.01883107
2022-02-15 15:00:00,0.7615184
2022-02-15 16:00:00,6.8780155
2022-02-15 17:00:00,7.4640446
2022-02-15 18:00:00,29.633625
2022-02-15 19:00:00,33.87712
2022-02-15 20:00:00,34.73974
2022-02-15 21:00:00,35.000416
2022-02-15 22:00:00,35.013733
2022-02-15 23:00:00,35.019005
2022-02-16 00:00:00,35.019005
