,MPAS_thompson_ntiedtke
2022-02-15 01:00:00,0.0
2022-02-15 02:00:00,0.0
2022-02-15 03:00:00,0.0
2022-02-15 04:00:00,0.0
2022-02-15 05:00:00,3.058783e-09
2022-02-15 06:00:00,3.539847e-09
2022-02-15 07:00:00,1.1791552e-08
2022-02-15 08:00:00,1.1791552e-08
2022-02-15 09:00:00,1.1791552e-08
2022-02-15 10:00:00,1.1791552e-08
2022-02-15 11:00:00,1.1791552e-08
2022-02-15 12:00:00,0.019315656
2022-02-15 13:00:00,0.10631247
2022-02-15 14:00:00,0.34955823
2022-02-15 15:00:00,0.76735324
2022-02-15 16:00:00,3.2478318
2022-02-15 17:00:00,5.324766
2022-02-15 18:00:00,8.648592
2022-02-15 19:00:00,14.068697
2022-02-15 20:00:00,17.905365
2022-02-15 21:00:00,20.671043
2022-02-15 22:00:00,27.887695
2022-02-15 23:00:00,30.82483
2022-02-16 00:00:00,31.674837
