,MPAS_wsm6_off
2022-02-15 01:00:00,0.0
2022-02-15 02:00:00,6.8081727e-31
2022-02-15 03:00:00,6.47775e-26
2022-02-15 04:00:00,1.160853e-10
2022-02-15 05:00:00,1.550527e-10
2022-02-15 06:00:00,1.550527e-10
2022-02-15 07:00:00,1.550527e-10
2022-02-15 08:00:00,1.550527e-10
2022-02-15 09:00:00,1.5751907e-10
2022-02-15 10:00:00,0.00015582473
2022-02-15 11:00:00,0.00015583767
2022-02-15 12:00:00,0.00040321116
2022-02-15 13:00:00,0.045956723
2022-02-15 14:00:00,0.08753135
2022-02-15 15:00:00,0.099946916
2022-02-15 16:00:00,2.4836228
2022-02-15 17:00:00,4.2492266
2022-02-15 18:00:00,10.324844
2022-02-15 19:00:00,11.330045
2022-02-15 20:00:00,11.971743
2022-02-15 21:00:00,12.4016285
2022-02-15 22:00:00,12.42178
2022-02-15 23:00:00,12.433437
2022-02-16 00:00:00,12.433437
