,MPAS_thompson_ntiedtke
2022-02-15 01:00:00,0.0
2022-02-15 02:00:00,0.0
2022-02-15 03:00:00,0.0
2022-02-15 04:00:00,2.485816e-06
2022-02-15 05:00:00,2.4809902e-05
2022-02-15 06:00:00,0.0001660043
2022-02-15 07:00:00,0.00019446263
2022-02-15 08:00:00,0.00043810846
2022-02-15 09:00:00,0.0022215517
2022-02-15 10:00:00,0.0022215517
2022-02-15 11:00:00,0.0022215517
2022-02-15 12:00:00,0.0022215517
2022-02-15 13:00:00,0.0022215517
2022-02-15 14:00:00,0.12070715
2022-02-15 15:00:00,0.31838295
2022-02-15 16:00:00,0.3412812
2022-02-15 17:00:00,0.641479
2022-02-15 18:00:00,0.80157936
2022-02-15 19:00:00,0.99833167
2022-02-15 20:00:00,1.2663136
2022-02-15 21:00:00,1.383455
2022-02-15 22:00:00,1.5246159
2022-02-15 23:00:00,1.6066835
2022-02-16 00:00:00,1.6150239
