,MPAS_wsm6_tiedtke
2022-02-15 01:00:00,0.0
2022-02-15 02:00:00,0.0
2022-02-15 03:00:00,0.0
2022-02-15 04:00:00,2.4777113e-11
2022-02-15 05:00:00,2.4777113e-11
2022-02-15 06:00:00,2.4777113e-11
2022-02-15 07:00:00,2.4777113e-11
2022-02-15 08:00:00,2.4777113e-11
2022-02-15 09:00:00,1.1925136e-10
2022-02-15 10:00:00,5.9849325e-10
2022-02-15 11:00:00,6.0964717e-10
2022-02-15 12:00:00,0.10421332
2022-02-15 13:00:00,0.10599927
2022-02-15 14:00:00,0.10599927
2022-02-15 15:00:00,2.5327399
2022-02-15 16:00:00,3.4642158
2022-02-15 17:00:00,3.5635293
2022-02-15 18:00:00,3.976374
2022-02-15 19:00:00,6.748107
2022-02-15 20:00:00,10.954441
2022-02-15 21:00:00,13.994688
2022-02-15 22:00:00,14.467501
2022-02-15 23:00:00,15.602983
2022-02-16 00:00:00,15.616741
