Station Name,Station Latitude,Station Longitude,Nearest Model Latitude,Nearest Model Longitude
Rua Araruama/Quitandinha,-22.52,-43.22,-22.517857,-43.232143
CIEP Brizolão137,-22.454,-43.143,-22.446428,-43.16071
Independência2,-22.548,-43.209,-22.55357,-43.19643
São Sebastião - Geo,-22.536909,-43.19324,-22.55357,-43.19643
Rua Amazonas/Quitandinha,-22.529,-43.223,-22.517857,-43.232143
Quitandinha - Geo,-22.524907,-43.223916,-22.517857,-43.232143
Bingen - Geo,-22.51221,-43.209475,-22.517857,-43.19643
Dr. Thouzet - Geo,-22.528328,-43.202885,-22.517857,-43.19643
