,,,,,,Hora,mm
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 15:10:00.0,"0,00"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 16:10:00.0,"0,00"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 17:10:00.0,"0,00"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 18:10:00.0,"0,00"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 18:20:00.0,"0,20"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 18:30:00.0,"2,80"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 18:40:00.0,"0,40"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 18:50:00.0,"8,80"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 19:00:00.0,"18,20"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 19:10:00.0,"2,80"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 19:20:00.0,"4,80"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 19:30:00.0,"11,80"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 19:40:00.0,"21,40"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 19:50:00.0,"22,40"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 20:00:00.0,"15,60"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 20:10:00.0,"9,80"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 20:20:00.0,"15,80"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 20:30:00.0,"18,40"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 20:40:00.0,"6,00"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 20:50:00.0,"16,40"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 21:00:00.0,"14,00"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 21:10:00.0,"25,20"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 21:20:00.0,"18,00"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 21:30:00.0,"13,20"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 21:40:00.0,"10,20"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 21:50:00.0,"3,20"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 22:00:00.0,"0,20"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 22:20:00.0,"0,20"
PETRÓPOLIS,330390604G,RJ,São Sebastião - Geo,"-22,536909","-43,19324",2022-02-15 23:10:00.0,"0,00"
,,,,,,,"259,80"
