,,,,,,Hora,mm
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 15:50:00.0,"0,00"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 16:20:00.0,"0,20"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 16:50:00.0,"0,00"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 17:50:00.0,"0,00"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 18:50:00.0,"0,00"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 19:00:00.0,"0,98"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 19:10:00.0,"6,11"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 19:20:00.0,"2,56"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 19:40:00.0,"2,56"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 19:50:00.0,"9,57"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 20:00:00.0,"14,91"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 20:10:00.0,"16,42"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 20:20:00.0,"15,55"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 20:30:00.0,"13,22"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 20:40:00.0,"9,96"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 20:50:00.0,"12,80"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 21:00:00.0,"13,64"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 21:10:00.0,"8,52"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 21:20:00.0,"3,74"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 21:30:00.0,"1,97"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 21:40:00.0,"0,59"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 21:50:00.0,"0,20"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 22:00:00.0,"0,20"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 22:20:00.0,"0,20"
PETRÓPOLIS,330390617A,RJ,Rua Araruama/Quitandinha,"-22,5200","-43,2200",2022-02-15 23:30:00.0,"0,20"
,,,,,,,"134,10"
