,,,,,,Hora,mm
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 15:20:00.0,"0,00"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 16:20:00.0,"0,00"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 17:20:00.0,"0,00"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 18:20:00.0,"0,00"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 19:20:00.0,"0,20"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 19:30:00.0,"4,53"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 19:40:00.0,"3,15"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 19:50:00.0,"0,79"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 20:00:00.0,"0,20"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 20:10:00.0,"1,37"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 20:20:00.0,"1,77"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 20:30:00.0,"1,97"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 20:40:00.0,"2,16"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 20:50:00.0,"2,56"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 21:00:00.0,"2,36"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 21:10:00.0,"2,56"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 21:20:00.0,"2,56"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 21:30:00.0,"2,56"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 21:40:00.0,"2,16"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 21:50:00.0,"1,77"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 22:00:00.0,"1,57"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 22:10:00.0,"1,57"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 22:20:00.0,"1,57"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 22:30:00.0,"1,37"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 22:40:00.0,"1,37"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 22:50:00.0,"1,18"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 23:00:00.0,"1,18"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 23:10:00.0,"1,18"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 23:20:00.0,"0,98"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 23:30:00.0,"0,79"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 23:40:00.0,"0,59"
PETRÓPOLIS,330390614A,RJ,CIEP Brizolão137,"-22,4540","-43,1430",2022-02-15 23:50:00.0,"0,39"
,,,,,,,"46,41"
