,,,,,,Hora,mm
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 18:20:00.0,"0,20"
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 18:50:00.0,"4,80"
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 19:00:00.0,"18,20"
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 19:10:00.0,"5,60"
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 19:20:00.0,"1,20"
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 19:30:00.0,"4,00"
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 19:40:00.0,"4,20"
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 19:50:00.0,"18,80"
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 20:00:00.0,"21,20"
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 20:10:00.0,"16,60"
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 20:20:00.0,"9,80"
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 20:30:00.0,"21,60"
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 20:40:00.0,"17,40"
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 20:50:00.0,"22,00"
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 21:00:00.0,"30,40"
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 21:10:00.0,"13,80"
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 21:20:00.0,"2,80"
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 21:30:00.0,"3,60"
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 21:40:00.0,"2,00"
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 21:50:00.0,"2,20"
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 22:10:00.0,"0,20"
PETRÓPOLIS,330390603G,RJ,Dr. Thouzet - Geo,"-22,528328","-43,202885",2022-02-15 23:10:00.0,"0,00"
,,,,,,,"220,60"
